date,target,scenario,forecast
2026-06-12,anp_ethanol_mt_net_l,base,3.6198630455052454
2026-06-19,anp_ethanol_mt_net_l,base,3.5829318259266154
2026-06-26,anp_ethanol_mt_net_l,base,3.544525519839639
2026-07-03,anp_ethanol_mt_net_l,base,3.5033839735209447
2026-07-10,anp_ethanol_mt_net_l,base,3.468209018716665
2026-07-17,anp_ethanol_mt_net_l,base,3.4329782236332393
2026-07-24,anp_ethanol_mt_net_l,base,3.4087495173065716
2026-07-31,anp_ethanol_mt_net_l,base,3.3836068354236195
2026-08-07,anp_ethanol_mt_net_l,base,3.355369955344582
2026-08-14,anp_ethanol_mt_net_l,base,3.336474446936935
2026-08-21,anp_ethanol_mt_net_l,base,3.3195582804315134
2026-08-28,anp_ethanol_mt_net_l,base,3.3061055632243175
2026-09-04,anp_ethanol_mt_net_l,base,3.2915809981027113
2026-09-11,anp_ethanol_mt_net_l,base,3.2820049451501716
2026-09-18,anp_ethanol_mt_net_l,base,3.276296364686892
2026-09-25,anp_ethanol_mt_net_l,base,3.2731555661211154
2026-10-02,anp_ethanol_mt_net_l,base,3.268637404443512
2026-10-09,anp_ethanol_mt_net_l,base,3.2681782807052793
2026-10-16,anp_ethanol_mt_net_l,base,3.2698562478729016
2026-10-23,anp_ethanol_mt_net_l,base,3.2727276955165894
2026-10-30,anp_ethanol_mt_net_l,base,3.277102142487856
2026-11-06,anp_ethanol_mt_net_l,base,3.284121278554999
2026-11-13,anp_ethanol_mt_net_l,base,3.292534704556519
2026-11-20,anp_ethanol_mt_net_l,base,3.302523235857403
2026-11-27,anp_ethanol_mt_net_l,base,3.3127361022501574
2026-12-04,anp_ethanol_mt_net_l,base,3.295437334988406
2026-12-11,anp_ethanol_mt_net_l,base,3.2938267579137217
2026-12-18,anp_ethanol_mt_net_l,base,3.291390849457423
2026-12-25,anp_ethanol_mt_net_l,base,3.291457633578742
2027-01-01,anp_ethanol_mt_net_l,base,3.2962414168870895
2027-01-08,anp_ethanol_mt_net_l,base,3.3002218841193414
2027-01-15,anp_ethanol_mt_net_l,base,3.303383003562288
2027-01-22,anp_ethanol_mt_net_l,base,3.3047811515146375
2027-01-29,anp_ethanol_mt_net_l,base,3.3059160304309394
2027-02-05,anp_ethanol_mt_net_l,base,3.314158032805771
2027-02-12,anp_ethanol_mt_net_l,base,3.320010432381956
2027-02-19,anp_ethanol_mt_net_l,base,3.3231781448234075
2027-02-26,anp_ethanol_mt_net_l,base,3.3247304582494617
2027-03-05,anp_ethanol_mt_net_l,base,3.329947855301061
2027-03-12,anp_ethanol_mt_net_l,base,3.33161430636139
2027-03-19,anp_ethanol_mt_net_l,base,3.3318666373174386
2027-03-26,anp_ethanol_mt_net_l,base,3.328638192983872
2027-04-02,anp_ethanol_mt_net_l,base,3.359430450302283
2026-04-10,anp_ethanol_mt_net_l,upside_macro,4.02472275593321
2026-04-17,anp_ethanol_mt_net_l,upside_macro,4.063078772865849
2026-04-24,anp_ethanol_mt_net_l,upside_macro,4.039073813929355
2026-05-01,anp_ethanol_mt_net_l,upside_macro,4.037546663413002
2026-05-08,anp_ethanol_mt_net_l,upside_macro,4.002072793789993
2026-05-15,anp_ethanol_mt_net_l,upside_macro,3.9416755450164644
2026-05-22,anp_ethanol_mt_net_l,upside_macro,3.8993953899589107
2026-05-29,anp_ethanol_mt_net_l,upside_macro,3.8594602567399403
2026-06-05,anp_ethanol_mt_net_l,upside_macro,3.816082867414215
2026-06-12,anp_ethanol_mt_net_l,upside_macro,3.772924313538126
2026-06-19,anp_ethanol_mt_net_l,upside_macro,3.7365162855784155
2026-06-26,anp_ethanol_mt_net_l,upside_macro,3.698221905109193
2026-07-03,anp_ethanol_mt_net_l,upside_macro,3.6573372823572536
2026-07-10,anp_ethanol_mt_net_l,upside_macro,3.6225738065765425
2026-07-17,anp_ethanol_mt_net_l,upside_macro,3.5876651688787216
2026-07-24,anp_ethanol_mt_net_l,upside_macro,3.5637122004436375
2026-07-31,anp_ethanol_mt_net_l,upside_macro,3.538793065060048
2026-08-07,anp_ethanol_mt_net_l,upside_macro,3.5107970111492484
2026-08-14,anp_ethanol_mt_net_l,upside_macro,3.4921173456447367
2026-08-21,anp_ethanol_mt_net_l,upside_macro,3.4754062382029467
2026-08-28,anp_ethanol_mt_net_l,upside_macro,3.4621392775209365
2026-09-04,anp_ethanol_mt_net_l,upside_macro,3.4477856016361486
2026-09-11,anp_ethanol_mt_net_l,upside_macro,3.438367149555126
2026-09-18,anp_ethanol_mt_net_l,upside_macro,3.432804557452087
2026-09-25,anp_ethanol_mt_net_l,upside_macro,3.4297988871864677
2026-10-02,anp_ethanol_mt_net_l,upside_macro,3.4254052365651293
2026-10-09,anp_ethanol_mt_net_l,upside_macro,3.425061091351063
2026-10-16,anp_ethanol_mt_net_l,upside_macro,3.426845137620223
2026-10-23,anp_ethanol_mt_net_l,upside_macro,3.4298145715098842
2026-10-30,anp_ethanol_mt_net_l,upside_macro,3.4342794882916823
2026-11-06,anp_ethanol_mt_net_l,upside_macro,3.4413821631923125
2026-11-13,anp_ethanol_mt_net_l,upside_macro,3.449872711443393
2026-11-20,anp_ethanol_mt_net_l,upside_macro,3.4599324451473157
2026-11-27,anp_ethanol_mt_net_l,upside_macro,3.4702110521855922
2026-12-04,anp_ethanol_mt_net_l,upside_macro,3.4529729822758406
2026-12-11,anp_ethanol_mt_net_l,upside_macro,3.4514184466893516
2026-12-18,anp_ethanol_mt_net_l,upside_macro,3.4490342797737337
2026-12-25,anp_ethanol_mt_net_l,upside_macro,3.4491488357738187
